,expression,numerical matches,exact matches
0,[x1*(2*x1 + exp(exp(-x1)*sin(1/log(x1))))],0,99.0
0,[x1*(x1*sin(x1**2*(x1**2*(-x1**2 + x1) + x1) + x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(2*x1**2*log(x1) + 2*x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1*(x1*(x1**2 - x1) + x1) + x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1**3 + x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1**2 + x1) + x1) + x1],99,99.0
0,[x1*(x1*(-x1**2 + 2*x1) + x1) + x1],99,99.0
0,[2*x1**2*sin(2*x1) + x1],99,99.0
0,[x1*(2*x1 + sin(2*x1))],99,99.0
0,[x1*(x1**2 + x1) + x1],99,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1 + sin(x1)],99,99.0
0,[3*x1],99,99.0
0,[x1*(x1 + exp(x1*sin(x1**2*exp(exp((x1*exp(x1*(x1**3*(x1**2*(-x1 + exp(-x1**2*(x1**2*(-x1 + exp(E - 2*x1)) - x1) - x1 + exp(x1*exp(exp((x1*(x1*(-3*x1 + exp(x1*(x1**2*(-x1**3 + 2*x1)*exp(x1) - 2*x1))/x1) - x1) - 2*x1)/x1))))) - x1) - 2*x1)) - 2*x1)/x1)))))],0,99.0
0,[x1*(x1 + exp(x1*sin(x1**2*exp(exp((x1*exp(x1*(x1**3*(x1**2*(-x1 + exp(-x1**2*(x1**2*(-x1 + exp(E - 2*x1)) - x1) - x1 + exp(x1*exp(exp((x1*(-x1**2 - x1) - 2*x1)/x1))))) - x1) - 2*x1)) - 2*x1)/x1)))))],0,99.0
0,[x1*(x1 + exp(x1*sin(x1**2*exp(exp((x1*exp(x1*(x1**3*(x1**2*(-x1 + exp(x1*exp(x1*exp(exp((x1*(x1*(-3*x1 - 1) - x1) - 2*x1)/x1))) - 1)) - x1) - 2*x1)) - 2*x1)/x1)))))],0,99.0
0,[2*x1 + log(-x1 + exp(x1*(x1**2*exp(-x1 + sin(x1)*cos(exp(exp(-x1 + exp(x1*(-x1 + exp(x1**2*exp(-2*x1 + exp(x1)) - x1))))))/x1) + x1)))],0,99.0
0,[2*x1 + log(-x1 + exp(x1*(x1**2*exp(-x1 + sin(x1)*cos(exp(exp(-x1 + exp(x1*(-x1 + exp(x1**2*exp(-2*x1 + exp(x1)) - x1))))))) + x1)))],0,99.0
0,[2*x1 + log(-x1 + exp(x1*(x1**2*exp(x1*cos(exp(exp(-x1 + exp(x1*(-x1 + exp(x1**2*exp(-2*x1 + exp(x1)) - x1)))))) - x1) + x1)))],0,99.0
0,[x1*(x1*exp(-x1 + sin(x1**2*(x1*(-x1 + exp(exp(x1*(x1*(x1**2 + x1) - x1)))) - x1))) + 2*x1)*sin(x1) + x1],0,99.0
0,[x1*(3*x1 + exp(2*x1**2*(-3*x1 + (x1 + exp(x1))*cos(exp(exp(x1**3))))*cos(x1) - x1))],0,99.0
0,[x1*(x1**2 + 2*x1 + exp(x1**3*(-x1**3 - x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],0,99.0
0,[x1*(x1**2 + 2*x1 + exp(x1**2*(-x1**3 - x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],0,99.0
0,[x1*(3*x1 + exp(x1*(-2*x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],0,99.0
0,[x1*(x1**2 + 2*x1 + exp(x1**2*(-2*x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],0,99.0
0,[x1*(3*x1 + exp(x1**2*(-2*x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],0,99.0
0,[x1*(3*x1 + exp(-3*x1 + exp(x1)*cos(exp(exp(x1**3)))))],0,99.0
0,[x1*exp(sin(2*x1**3*log(2*x1**2) + x1))*sin(x1) + x1],99,99.0
0,[(exp(sin(x1**2*(x1**2 + x1))) + sin(x1))*sin(x1)],99,99.0
0,[x1**2 + x1 + sin(2*x1**3)*sin(x1**2*(x1**2 + x1))],99,99.0
0,[x1*(x1 + exp(x1**2*sin(x1*exp(x1**4))))],0,99.0
0,[x1*(x1 + exp(x1**2*sin(x1*exp(x1**3))))],0,99.0
0,[(x1 + exp(sin(x1**2*(x1**2 + x1))))*sin(x1)],99,99.0
0,[x1**2 + x1 + sin(x1**3*(x1**2 + x1))],99,99.0
0,[2*x1*sin(2*x1**3) + x1],99,99.0
0,[x1*(x1**2 + x1 + x1/sin(x1))],99,99.0
0,[x1*(exp(x1) - cos(x1)) + x1],99,99.0
0,[x1*(-x1**2 + 4*x1)],99,99.0
0,[x1*(x1**2 + x1) + x1],99,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*log(x1**2*(x1 + (x1**3*log(x1**2*(x1*(x1*exp(x1*sin(x1**2*(x1 + (x1*exp(exp(x1**2)) + x1)*exp(x1))) + x1) + x1) + x1)*exp(sin(x1)) + exp(exp(x1))) + x1)*exp(x1))*(x1**2*sin(x1**2*(x1 + (x1*exp(exp(x1**2)) + x1)*exp(x1))) + x1) + exp(exp(x1)))],0,99.0
